era,year,month,sector,variable,spread,n_products,max_val,min_val
CS2,2013,5,Amundsen_Bellingshausen,hfr,0.03266439959406853,5,0.08477762341499329,0.05211322382092476
CS2,2013,5,Amundsen_Bellingshausen,hfi,0.022460967302322388,5,0.10919920355081558,0.0867382362484932
CS2,2013,5,Amundsen_Bellingshausen,hs,0.06954985111951828,5,0.1454426348209381,0.07589278370141983
CS2,2013,5,Amundsen_Bellingshausen,hsc,0.015402406454086304,5,0.03471951559185982,0.019317109137773514
CS2,2013,5,Eastern_Weddell,hfr,0.043324172496795654,5,0.09459974616765976,0.051275573670864105
CS2,2013,5,Eastern_Weddell,hfi,0.04333871603012085,5,0.1299346685409546,0.08659595251083374
CS2,2013,5,Eastern_Weddell,hs,0.05352574586868286,5,0.17028281092643738,0.11675706505775452
CS2,2013,5,Eastern_Weddell,hsc,0.0056861210614442825,5,0.03540447726845741,0.02971835620701313
CS2,2013,5,Indian,hfr,0.030037175863981247,5,0.07035656273365021,0.04031938686966896
CS2,2013,5,Indian,hfi,0.024807486683130264,5,0.08672679215669632,0.061919305473566055
CS2,2013,5,Indian,hs,0.066375732421875,5,0.1306908279657364,0.06431509554386139
CS2,2013,5,Indian,hsc,0.010145600885152817,5,0.02651582472026348,0.016370223835110664
CS2,2013,5,Ross,hfr,0.04141147807240486,5,0.10171879827976227,0.06030732020735741
CS2,2013,5,Ross,hfi,0.03389111906290054,5,0.12683352828025818,0.09294240921735764
CS2,2013,5,Ross,hs,0.05850960314273834,5,0.15717998147010803,0.09867037832736969
CS2,2013,5,Ross,hsc,0.007567103952169418,5,0.03268183022737503,0.025114726275205612
CS2,2013,5,Western_Pacific,hfr,0.05379214882850647,5,0.15306442975997925,0.09927228093147278
CS2,2013,5,Western_Pacific,hfi,0.05235874652862549,5,0.1809457540512085,0.128587007522583
CS2,2013,5,Western_Pacific,hs,0.07774972170591354,5,0.18093444406986237,0.10318472236394882
CS2,2013,5,Western_Pacific,hsc,0.010445969179272652,5,0.0367097370326519,0.02626376785337925
CS2,2013,5,Western_Weddell,hfr,0.0720481425523758,5,0.15903449058532715,0.08698634803295135
CS2,2013,5,Western_Weddell,hfi,0.05556382238864899,5,0.22031864523887634,0.16475482285022736
CS2,2013,5,Western_Weddell,hs,0.17412708699703217,5,0.32666704058647156,0.1525399535894394
CS2,2013,5,Western_Weddell,hsc,0.03901088982820511,5,0.07783712446689606,0.03882623463869095
CS2,2013,6,Amundsen_Bellingshausen,hfr,0.033846043050289154,5,0.07411112636327744,0.04026508331298828
CS2,2013,6,Amundsen_Bellingshausen,hfi,0.022843047976493835,5,0.10239451378583908,0.07955146580934525
CS2,2013,6,Amundsen_Bellingshausen,hs,0.0796777755022049,5,0.16502277553081512,0.08534500002861023
