era,product,sector,variable,multiyear_mean,multiyear_std,n_years
CS2,CCI_CS2,Amundsen_Bellingshausen,hfi,0.1215160275912947,0.008568278771469538,6
CS2,CCI_CS2,Amundsen_Bellingshausen,hfr,0.07899544595016374,0.008414604936801679,6
CS2,CCI_CS2,Amundsen_Bellingshausen,hs,0.17783767936958209,0.003165817090501453,6
CS2,CCI_CS2,Amundsen_Bellingshausen,hsc,0.0425205799854464,0.000759844491973448,6
CS2,CCI_CS2,Eastern_Weddell,hfi,0.1127517835961448,0.01435237852979953,6
CS2,CCI_CS2,Eastern_Weddell,hfr,0.07070003387828669,0.014817195103738839,6
CS2,CCI_CS2,Eastern_Weddell,hs,0.17611412165893447,0.0028869403864978677,6
CS2,CCI_CS2,Eastern_Weddell,hsc,0.04205174940741724,0.0007416248168126436,6
CS2,CCI_CS2,Indian,hfi,0.07428654014236398,0.0027224193384196675,6
CS2,CCI_CS2,Indian,hfr,0.04826958125664128,0.0028209373992623865,6
CS2,CCI_CS2,Indian,hs,0.10904209667609797,0.001420970745815808,6
CS2,CCI_CS2,Indian,hsc,0.02601695836832126,0.00034480934395668584,6
CS2,CCI_CS2,Ross,hfi,0.10832405566341347,0.011149229525991934,6
CS2,CCI_CS2,Ross,hfr,0.06705232751038338,0.01116908008100608,6
CS2,CCI_CS2,Ross,hs,0.17327068414953017,0.0009635176665194847,6
CS2,CCI_CS2,Ross,hsc,0.0412717272217075,0.00024512962471935157,6
CS2,CCI_CS2,Western_Pacific,hfi,0.12414303628934754,0.01604759353556295,6
CS2,CCI_CS2,Western_Pacific,hfr,0.09311725944280624,0.016070713487386874,6
CS2,CCI_CS2,Western_Pacific,hs,0.1299160725126664,0.001669193179931079,6
CS2,CCI_CS2,Western_Pacific,hsc,0.031025777622643445,0.0004278217446079549,6
CS2,CCI_CS2,Western_Weddell,hfi,0.19337902011142835,0.01653597684599984,6
CS2,CCI_CS2,Western_Weddell,hfr,0.1210652980953455,0.01615161158286427,6
CS2,CCI_CS2,Western_Weddell,hs,0.30317180065645116,0.00212377790542543,6
