reference,year,month,item,value
CLIMATOLOGY,2013,5,climatology_hash,ba9acbb5c116
CLIMATOLOGY,2013,5,cci_hash_at_build,8874f7328c19
CLIMATOLOGY,2013,6,climatology_hash,747ad65aea1e
CLIMATOLOGY,2013,6,cci_hash_at_build,31f9343eeab0
CLIMATOLOGY,2013,7,climatology_hash,c537a074f0b5
CLIMATOLOGY,2013,7,cci_hash_at_build,8138a5cdddf7
CLIMATOLOGY,2013,8,climatology_hash,26953774ed7d
CLIMATOLOGY,2013,8,cci_hash_at_build,e8bd67824f18
CLIMATOLOGY,2013,9,climatology_hash,e9a4a42d5320
CLIMATOLOGY,2013,9,cci_hash_at_build,d8798046013f
CLIMATOLOGY,2013,10,climatology_hash,9ede449624cd
CLIMATOLOGY,2013,10,cci_hash_at_build,a2aa9883db02
CLIMATOLOGY,2014,5,climatology_hash,8474e9083806
CLIMATOLOGY,2014,5,cci_hash_at_build,fb478f11b10b
CLIMATOLOGY,2014,6,climatology_hash,62f138310994
CLIMATOLOGY,2014,6,cci_hash_at_build,d956a68142ec
CLIMATOLOGY,2014,7,climatology_hash,7dda4e6f32cc
CLIMATOLOGY,2014,7,cci_hash_at_build,d2e061c5cb77
CLIMATOLOGY,2014,8,climatology_hash,6cf8edd353c1
CLIMATOLOGY,2014,8,cci_hash_at_build,8044e62253a8
CLIMATOLOGY,2014,9,climatology_hash,c4e080a2b608
CLIMATOLOGY,2014,9,cci_hash_at_build,8a7749830063
CLIMATOLOGY,2014,10,climatology_hash,1294f4f50370
CLIMATOLOGY,2014,10,cci_hash_at_build,a401d334f198
CLIMATOLOGY,2015,5,climatology_hash,3d14d98a60cb
CLIMATOLOGY,2015,5,cci_hash_at_build,f38e01008ff1
CLIMATOLOGY,2015,6,climatology_hash,6161dd11c1dd
CLIMATOLOGY,2015,6,cci_hash_at_build,025bdbf18159
CLIMATOLOGY,2015,7,climatology_hash,8c0ec3a36e28
CLIMATOLOGY,2015,7,cci_hash_at_build,342d296855fc
CLIMATOLOGY,2015,8,climatology_hash,f1a464b81371
CLIMATOLOGY,2015,8,cci_hash_at_build,09878d6cfa36
CLIMATOLOGY,2015,9,climatology_hash,12b056a0affd
CLIMATOLOGY,2015,9,cci_hash_at_build,c036565a290b
CLIMATOLOGY,2015,10,climatology_hash,9aa9156cf336
CLIMATOLOGY,2015,10,cci_hash_at_build,cc922f998239
CLIMATOLOGY,2016,5,climatology_hash,f8e7661d9444
CLIMATOLOGY,2016,5,cci_hash_at_build,4519331215bc
CLIMATOLOGY,2016,6,climatology_hash,c4055fa62561
CLIMATOLOGY,2016,6,cci_hash_at_build,be1dc58d1d2e
CLIMATOLOGY,2016,7,climatology_hash,9a9e28e9d1eb
CLIMATOLOGY,2016,7,cci_hash_at_build,d5c4082a7411
CLIMATOLOGY,2016,8,climatology_hash,e705f2ab1718
CLIMATOLOGY,2016,8,cci_hash_at_build,5d8f2b2cb669
CLIMATOLOGY,2016,9,climatology_hash,e8677b25eed6
CLIMATOLOGY,2016,9,cci_hash_at_build,e0b4f9589a97
CLIMATOLOGY,2016,10,climatology_hash,43ed9ecda456
CLIMATOLOGY,2016,10,cci_hash_at_build,33b2483293a2
CLIMATOLOGY,2017,5,climatology_hash,7f7f45168fa2
CLIMATOLOGY,2017,5,cci_hash_at_build,14016099dc4f
CLIMATOLOGY,2017,6,climatology_hash,aba481f25ee7
CLIMATOLOGY,2017,6,cci_hash_at_build,350caa6a2c3d
CLIMATOLOGY,2017,7,climatology_hash,478989b499b7
CLIMATOLOGY,2017,7,cci_hash_at_build,eaaee1d097bd
