case,year,month,product,sector,n_cells,hfr_mean,hsc_mean,hfi_mean
A,2013,5,CCI_CS2,Western_Weddell,479,0.11077230423688889,0.07770287990570068,0.18847517669200897
A,2013,5,CCI_CS2,Eastern_Weddell,759,0.0688600167632103,0.03520844131708145,0.10406845808029175
A,2013,5,CCI_CS2,Indian,350,0.04055418819189072,0.021619711071252823,0.06217389926314354
A,2013,5,CCI_CS2,Western_Pacific,332,0.10966036468744278,0.029211198911070824,0.13887156546115875
A,2013,5,CCI_CS2,Ross,1018,0.07433624565601349,0.032679297029972076,0.10701553523540497
A,2013,5,CCI_CS2,Amundsen_Bellingshausen,343,0.06367360800504684,0.03461097180843353,0.09828457236289978
B,2013,5,CCI_CS2,Western_Weddell,479,0.11077230423688889,0.07770287990570068,0.18847517669200897
B,2013,5,CCI_CS2,Eastern_Weddell,759,0.0688600167632103,0.03520844131708145,0.10406845808029175
B,2013,5,CCI_CS2,Indian,350,0.04055418819189072,0.021619711071252823,0.06217389926314354
B,2013,5,CCI_CS2,Western_Pacific,332,0.10966036468744278,0.029211198911070824,0.13887156546115875
B,2013,5,CCI_CS2,Ross,1018,0.07433624565601349,0.032679297029972076,0.10701553523540497
B,2013,5,CCI_CS2,Amundsen_Bellingshausen,343,0.06367360800504684,0.03461097180843353,0.09828457236289978
C,2013,5,CCI_CS2,Western_Weddell,479,0.11077230423688889,0.07770287990570068,0.18847517669200897
C,2013,5,CCI_CS2,Eastern_Weddell,759,0.0688600167632103,0.03520844131708145,0.10406845808029175
C,2013,5,CCI_CS2,Indian,350,0.04055418819189072,0.021619711071252823,0.06217389926314354
C,2013,5,CCI_CS2,Western_Pacific,332,0.10966036468744278,0.029211198911070824,0.13887156546115875
C,2013,5,CCI_CS2,Ross,1018,0.07433624565601349,0.032679297029972076,0.10701553523540497
C,2013,5,CCI_CS2,Amundsen_Bellingshausen,343,0.06367360800504684,0.03461097180843353,0.09828457236289978
D,2013,5,CCI_CS2,Western_Weddell,479,0.11077230423688889,0.07770287990570068,0.18847517669200897
D,2013,5,CCI_CS2,Eastern_Weddell,759,0.0688600167632103,0.03520844131708145,0.10406845808029175
D,2013,5,CCI_CS2,Indian,350,0.04055418819189072,0.021619711071252823,0.06217389926314354
D,2013,5,CCI_CS2,Western_Pacific,332,0.10966036468744278,0.029211198911070824,0.13887156546115875
D,2013,5,CCI_CS2,Ross,1018,0.07433624565601349,0.032679297029972076,0.10701553523540497
D,2013,5,CCI_CS2,Amundsen_Bellingshausen,343,0.06367360800504684,0.03461097180843353,0.09828457236289978
A,2013,5,LEGOS_I_CS2,Western_Weddell,479,0.15903449058532715,0.07303523272275925,0.2351367473602295
A,2013,5,LEGOS_I_CS2,Eastern_Weddell,759,0.09459974616765976,0.04334235563874245,0.13872838020324707
A,2013,5,LEGOS_I_CS2,Indian,350,0.04979049041867256,0.02089163474738598,0.06859920173883438
A,2013,5,LEGOS_I_CS2,Western_Pacific,332,0.15306442975997925,0.037972770631313324,0.18865002691745758
A,2013,5,LEGOS_I_CS2,Ross,1018,0.09222671389579773,0.04000726342201233,0.13351789116859436
A,2013,5,LEGOS_I_CS2,Amundsen_Bellingshausen,343,0.08182237297296524,0.03140878304839134,0.11107341200113297
B,2013,5,LEGOS_I_CS2,Western_Weddell,479,0.15903449058532715,0.06831074506044388,0.23041224479675293
B,2013,5,LEGOS_I_CS2,Eastern_Weddell,759,0.09459974616765976,0.04053863137960434,0.13592466711997986
B,2013,5,LEGOS_I_CS2,Indian,350,0.04979049041867256,0.019540198147296906,0.06724777817726135
B,2013,5,LEGOS_I_CS2,Western_Pacific,332,0.15306442975997925,0.035516392439603806,0.18619365990161896
B,2013,5,LEGOS_I_CS2,Ross,1018,0.09222671389579773,0.03741928189992905,0.13092991709709167
B,2013,5,LEGOS_I_CS2,Amundsen_Bellingshausen,343,0.08182237297296524,0.029377013444900513,0.10904165357351303
C,2013,5,LEGOS_I_CS2,Western_Weddell,479,0.15903449058532715,0.08307693898677826,0.2421114295721054
C,2013,5,LEGOS_I_CS2,Eastern_Weddell,759,0.09459974616765976,0.037643518298864365,0.13224327564239502
C,2013,5,LEGOS_I_CS2,Indian,350,0.04979049041867256,0.023114968091249466,0.07290545105934143
C,2013,5,LEGOS_I_CS2,Western_Pacific,332,0.15306442975997925,0.03123149462044239,0.1842959225177765
C,2013,5,LEGOS_I_CS2,Ross,1018,0.09222671389579773,0.03493945300579071,0.12716616690158844
C,2013,5,LEGOS_I_CS2,Amundsen_Bellingshausen,343,0.08182237297296524,0.037004727870225906,0.11882709711790085
D,2013,5,LEGOS_I_CS2,Western_Weddell,479,0.15903449058532715,0.07770287990570068,0.23673737049102783
D,2013,5,LEGOS_I_CS2,Eastern_Weddell,759,0.09459974616765976,0.03520844131708145,0.1298082023859024
D,2013,5,LEGOS_I_CS2,Indian,350,0.04979049041867256,0.021619711071252823,0.07141020148992538
D,2013,5,LEGOS_I_CS2,Western_Pacific,332,0.15306442975997925,0.029211198911070824,0.18227563798427582
D,2013,5,LEGOS_I_CS2,Ross,1018,0.09222671389579773,0.032679297029972076,0.1249060109257698
D,2013,5,LEGOS_I_CS2,Amundsen_Bellingshausen,343,0.08182237297296524,0.03461097180843353,0.11643333733081818
A,2013,5,LEGOS_II_CS2,Western_Weddell,479,0.15903449058532715,0.04924989119172096,0.22214768826961517
A,2013,5,LEGOS_II_CS2,Eastern_Weddell,759,0.09459974616765976,0.04045460373163223,0.13616570830345154
A,2013,5,LEGOS_II_CS2,Indian,350,0.04979049041867256,0.03326493501663208,0.0735592320561409
A,2013,5,LEGOS_II_CS2,Western_Pacific,332,0.15306442975997925,0.04605352506041527,0.18404579162597656
A,2013,5,LEGOS_II_CS2,Ross,1018,0.09222671389579773,0.03823360055685043,0.131423681974411
A,2013,5,LEGOS_II_CS2,Amundsen_Bellingshausen,343,0.08182237297296524,0.03383568301796913,0.11606410890817642
B,2013,5,LEGOS_II_CS2,Western_Weddell,479,0.15903449058532715,0.04606401547789574,0.21896179020404816
B,2013,5,LEGOS_II_CS2,Eastern_Weddell,759,0.09459974616765976,0.0378376841545105,0.1335487812757492
B,2013,5,LEGOS_II_CS2,Indian,350,0.04979049041867256,0.031113101169466972,0.07140739262104034
B,2013,5,LEGOS_II_CS2,Western_Pacific,332,0.15306442975997925,0.04307442158460617,0.18106670677661896
