case,year,month,sector,variable,spread,n_products
A,2013,5,Amundsen_Bellingshausen,hfi,0.023319341242313385,5
A,2013,5,Amundsen_Bellingshausen,hfr,0.03266439959406853,5
A,2013,5,Amundsen_Bellingshausen,hsc,0.021314434707164764,5
A,2013,5,Eastern_Weddell,hfi,0.04600527137517929,5
A,2013,5,Eastern_Weddell,hfr,0.043324172496795654,5
A,2013,5,Eastern_Weddell,hsc,0.013623999431729317,5
A,2013,5,Indian,hfi,0.02455289289355278,5
A,2013,5,Indian,hfr,0.030037175863981247,5
A,2013,5,Indian,hsc,0.016894711181521416,5
A,2013,5,Ross,hfi,0.034914158284664154,5
A,2013,5,Ross,hfr,0.04141147807240486,5
A,2013,5,Ross,hsc,0.014892537146806717,5
A,2013,5,Western_Pacific,hfi,0.05497770011425018,5
A,2013,5,Western_Pacific,hfr,0.05379214882850647,5
A,2013,5,Western_Pacific,hsc,0.01978975720703602,5
A,2013,5,Western_Weddell,hfi,0.05689112842082977,5
A,2013,5,Western_Weddell,hfr,0.0720481425523758,5
A,2013,5,Western_Weddell,hsc,0.05243302136659622,5
A,2013,6,Amundsen_Bellingshausen,hfi,0.02744380384683609,5
A,2013,6,Amundsen_Bellingshausen,hfr,0.033846043050289154,5
A,2013,6,Amundsen_Bellingshausen,hsc,0.01952415704727173,5
A,2013,6,Eastern_Weddell,hfi,0.07093390077352524,5
A,2013,6,Eastern_Weddell,hfr,0.05190274119377136,5
A,2013,6,Eastern_Weddell,hsc,0.031182382255792618,5
A,2013,6,Indian,hfi,0.022978775203227997,5
A,2013,6,Indian,hfr,0.028095923364162445,5
A,2013,6,Indian,hsc,0.010668013244867325,5
A,2013,6,Ross,hfi,0.04521697759628296,5
A,2013,6,Ross,hfr,0.03990263491868973,5
A,2013,6,Ross,hsc,0.014505695551633835,5
A,2013,6,Western_Pacific,hfi,0.057680100202560425,5
A,2013,6,Western_Pacific,hfr,0.050106726586818695,5
A,2013,6,Western_Pacific,hsc,0.01661916822195053,5
A,2013,6,Western_Weddell,hfi,0.06893150508403778,5
A,2013,6,Western_Weddell,hfr,0.07694948464632034,5
A,2013,6,Western_Weddell,hsc,0.04343963414430618,5
A,2013,7,Amundsen_Bellingshausen,hfi,0.03029146045446396,5
A,2013,7,Amundsen_Bellingshausen,hfr,0.039051104336977005,5
A,2013,7,Amundsen_Bellingshausen,hsc,0.018532924354076385,5
A,2013,7,Eastern_Weddell,hfi,0.07154403626918793,5
A,2013,7,Eastern_Weddell,hfr,0.06001133844256401,5
A,2013,7,Eastern_Weddell,hsc,0.023215387016534805,5
A,2013,7,Indian,hfi,0.04463775455951691,5
A,2013,7,Indian,hfr,0.0352851003408432,5
A,2013,7,Indian,hsc,0.01948949322104454,5
A,2013,7,Ross,hfi,0.0381944477558136,5
A,2013,7,Ross,hfr,0.04234827309846878,5
A,2013,7,Ross,hsc,0.017863091081380844,5
A,2013,7,Western_Pacific,hfi,0.06974433362483978,5
A,2013,7,Western_Pacific,hfr,0.06159990280866623,5
A,2013,7,Western_Pacific,hsc,0.016649629920721054,5
A,2013,7,Western_Weddell,hfi,0.10066461563110352,5
A,2013,7,Western_Weddell,hfr,0.1003781259059906,5
A,2013,7,Western_Weddell,hsc,0.03011993318796158,5
A,2013,8,Amundsen_Bellingshausen,hfi,0.05373290181159973,5
A,2013,8,Amundsen_Bellingshausen,hfr,0.052807971835136414,5
A,2013,8,Amundsen_Bellingshausen,hsc,0.014466766268014908,5
A,2013,8,Eastern_Weddell,hfi,0.06956222653388977,5
A,2013,8,Eastern_Weddell,hfr,0.06293321400880814,5
A,2013,8,Eastern_Weddell,hsc,0.017547503113746643,5
A,2013,8,Indian,hfi,0.04078251123428345,5
A,2013,8,Indian,hfr,0.03679722920060158,5
A,2013,8,Indian,hsc,0.019180327653884888,5
A,2013,8,Ross,hfi,0.05255860090255737,5
A,2013,8,Ross,hfr,0.04293311387300491,5
A,2013,8,Ross,hsc,0.028467174619436264,5
A,2013,8,Western_Pacific,hfi,0.05552077293395996,5
A,2013,8,Western_Pacific,hfr,0.04183182865381241,5
A,2013,8,Western_Pacific,hsc,0.021015383303165436,5
A,2013,8,Western_Weddell,hfi,0.12118971347808838,5
A,2013,8,Western_Weddell,hfr,0.11155582964420319,5
A,2013,8,Western_Weddell,hsc,0.03296876698732376,5
A,2013,9,Amundsen_Bellingshausen,hfi,0.07205928862094879,5
A,2013,9,Amundsen_Bellingshausen,hfr,0.06309946998953819,5
A,2013,9,Amundsen_Bellingshausen,hsc,0.022007599472999573,5
A,2013,9,Eastern_Weddell,hfi,0.0912637934088707,5
A,2013,9,Eastern_Weddell,hfr,0.0780760869383812,5
A,2013,9,Eastern_Weddell,hsc,0.01838565245270729,5
A,2013,9,Indian,hfi,0.0489560067653656,5
A,2013,9,Indian,hfr,0.03598979115486145,5
A,2013,9,Indian,hsc,0.022488292306661606,5
A,2013,9,Ross,hfi,0.06104229390621185,5
A,2013,9,Ross,hfr,0.04778755456209183,5
A,2013,9,Ross,hsc,0.02369394153356552,5
A,2013,9,Western_Pacific,hfi,0.06837673485279083,5
A,2013,9,Western_Pacific,hfr,0.058839984238147736,5
A,2013,9,Western_Pacific,hsc,0.024573668837547302,5
A,2013,9,Western_Weddell,hfi,0.15235145390033722,5
A,2013,9,Western_Weddell,hfr,0.11705344915390015,5
A,2013,9,Western_Weddell,hsc,0.02069099247455597,5
A,2013,10,Amundsen_Bellingshausen,hfi,0.09642604738473892,5
A,2013,10,Amundsen_Bellingshausen,hfr,0.07724284753203392,5
A,2013,10,Amundsen_Bellingshausen,hsc,0.023452747613191605,5
A,2013,10,Eastern_Weddell,hfi,0.13418838381767273,5
A,2013,10,Eastern_Weddell,hfr,0.10026156902313232,5
A,2013,10,Eastern_Weddell,hsc,0.03211978077888489,5
A,2013,10,Indian,hfi,0.08223816752433777,5
A,2013,10,Indian,hfr,0.07109568966552615,5
A,2013,10,Indian,hsc,0.03291156888008118,5
A,2013,10,Ross,hfi,0.06089078634977341,5
A,2013,10,Ross,hfr,0.04633183032274246,5
A,2013,10,Ross,hsc,0.014713902026414871,5
A,2013,10,Western_Pacific,hfi,0.09839165955781937,5
A,2013,10,Western_Pacific,hfr,0.0898812860250473,5
A,2013,10,Western_Pacific,hsc,0.035328883677721024,5
A,2013,10,Western_Weddell,hfi,0.1810368150472641,5
A,2013,10,Western_Weddell,hfr,0.12377898395061493,5
A,2013,10,Western_Weddell,hsc,0.027501143515110016,5
A,2014,5,Amundsen_Bellingshausen,hfi,0.01816628873348236,5
A,2014,5,Amundsen_Bellingshausen,hfr,0.03157736733555794,5
A,2014,5,Amundsen_Bellingshausen,hsc,0.01692797802388668,5
A,2014,5,Eastern_Weddell,hfi,0.036354027688503265,5
A,2014,5,Eastern_Weddell,hfr,0.043080344796180725,5
A,2014,5,Eastern_Weddell,hsc,0.021649613976478577,5
A,2014,5,Indian,hfi,0.028335832059383392,5
A,2014,5,Indian,hfr,0.034814514219760895,5
A,2014,5,Indian,hsc,0.011794555932283401,5
A,2014,5,Ross,hfi,0.02820476144552231,5
